matter_id,client,represented_side,counterparty,matter_type,governing_law,institution_seat,responsible_lawyer_team
ICC-00139/21,Redcliff Pharmaceuticals Inc,Claimant,Novatek Industrial Group (Respondent),EPC contract dispute,South African law,"ICC Rules 2021; seat Paris, France; language English","Novak P, Wolf Theiss, Vienna"
SCAI-2023-065,Whitmore Agrochemicals plc,Respondent,Palisade Real Estate GmbH (Claimant),Breach of warranty in asset purchase agreement,Korean law,"Swiss Rules 2021; seat Zurich, Switzerland; language English","Schmidt L, Hengeler Mueller, Frankfurt"
SCC-EA-2025/065,Highbank Financial Services,Claimant,Andaman Shipping Pte Ltd (Respondent),Shareholder oppression / minority rights,Austrian law; CISG excluded,"SCC Rules 2017; seat Stockholm, Sweden; language English","Larsson E, Mannheimer Swartling, Stockholm"
HKIAC-2023-0001,Tundra Foods AB,Respondent,Fjordlight Seafood AS (Claimant),Real estate development dispute,Japanese law,HKIAC Rules 2018; seat Hong Kong SAR; language English,"Devi A, AZB & Partners, Mumbai"
CIETAC-2022-FIN053,Solstice Energy Partners,Respondent,Whitmore Agrochemicals plc (Claimant),Breach of loan/facility agreement,DIFC law,"CIETAC Rules 2015; seat Beijing, China; language English","Fernandez P, Uria Menendez, Madrid"
AFSA-2024-070,Vesper Insurance Group,Claimant,Larkspur Biotech AG (Respondent),Agency agreement termination,Japanese law,"AFSA Rules 2021; seat Johannesburg, South Africa; language English","Meier F, Bar & Karrer, Zurich"
LCIA-20240040,Vesper Insurance Group,Respondent,Highbank Financial Services (Claimant),Pharmaceutical supply and quality dispute,Italian law; CISG excluded,"LCIA Rules 2020; seat London, England; language English","Meier F, Bar & Karrer, Zurich"
CIETAC-2022-SVC085,Nordwind Turbines AG,Respondent,Andaman Shipping Pte Ltd (Claimant),Breach of long-term service agreement,Swiss law,"CIETAC Rules 2015; seat Beijing, China; language English","Osei K, Bowmans, Johannesburg"
ICC-00092/24,Fjordlight Seafood AS,Respondent,Cascade Semiconductors Ltd (Claimant),Real estate development dispute,French law,"ICC Rules 2021; seat Paris, France; language English","Nakamura T, Nishimura & Asahi, Tokyo"
VIAC-0078-2023,Broadmoor Infrastructure Ltd,Claimant,Halcyon Robotics Inc (Respondent),Post-M&A earn-out / indemnity claim,DIFC law,"VIAC Rules 2021; seat Vienna, Austria; language English","Fernandez P, Uria Menendez, Madrid"
ICC-00112/26,Instigate Mobile CJSC,Claimant,Accelerate Group Limited (Respondent),Commercial arbitration,UK law,"ICC Rules; seat London, United Kingdom","Harvey Spector, Pearson Spector Litt"
